Strike,Latest,Theor.,IV,Delta,Gamma,Theta,Vega,Volume,Open Int,Vol/OI,ITM Prob,Moneyness,Bid,Mid,Ask,Change,%Change,OI Chg,Type,Last Trade
6670,0,0,0.00%,0,0,0,0,0,5,0,100.00%,2.85%,187.3,188,188.7,-2.49,-1.09%,unch,Call,09:50 ET
6675,208.2,0,0.00%,0,0,0,0,3,7,0.43,100.00%,2.77%,182.7,183.2,183.7,unch,unch,5,Call,N/A
6680,217.52,0,0.00%,0,0,0,0,1,3,0.33,100.00%,2.70%,177.5,178.15,178.8,-21.8,-9.48%,3,Call,10:02 ET
6685,208.1,0,0.00%,0,0,0,0,3,1,3,100.00%,2.63%,172.5,173.15,173.8,-12.11,-5.27%,2,Call,09:30 ET
6690,174.22,163.3,16.09%,0.9981,0.0001,-0.8453,0.022,0,2,0,100.00%,2.55%,167.5,168.15,168.8,-17.5,-7.76%,unch,Call,09:48 ET
6695,0,158.3,15.61%,0.998,0.0001,-0.8427,0.0223,0,0,0,100.00%,2.48%,162.8,163.3,163.8,unch,unch,-5,Call,02/19/26
6700,153.67,153.67,20.25%,0.9844,0.0005,-2.088,0.1393,26,57,0.46,99.92%,2.41%,157.8,158.3,158.8,unch,unch,unch,Call,N/A
6705,204.99,0,0.00%,0,0,0,0,1,1,1,100.00%,2.34%,152.8,153.35,153.9,-60.99,-29.03%,20,Call,10:52 ET
6710,142.62,143.35,15.63%,0.9954,0.0002,-1.045,0.0478,2,36,0.06,99.99%,2.26%,147.1,147.7,148.3,-81.4,-39.96%,1,Call,11:04 ET
6715,138.77,138.77,19.13%,0.9801,0.0007,-2.324,0.1719,6,6,1,99.87%,2.19%,142.8,143.35,143.9,-57.44,-28.71%,6,Call,10:44 ET
6720,147,0,0.00%,0,0,0,0,6,57,0.11,100.00%,2.12%,137,138.9,140.8,-14.53,-9.48%,6,Call,10:45 ET
6725,139.58,0,0.00%,0,0,0,0,9,20,0.45,100.00%,2.04%,132.2,132.7,133.2,-44.41,-23.20%,-19,Call,10:20 ET
6730,128.04,0,0.00%,0,0,0,0,5,18,0.28,100.00%,1.97%,127.1,127.65,128.2,-85.82,-44.94%,-2,Call,11:04 ET
6735,130.32,0,0.00%,0,0,0,0,0,5,0,100.00%,1.90%,122.3,122.95,123.6,-46.48,-26.63%,9,Call,10:41 ET
6740,167.51,0,0.00%,0,0,0,0,4,17,0.24,100.00%,1.83%,117.3,118.1,118.9,-34.8,-25.51%,-1,Call,11:02 ET
6745,143.3,0,0.00%,0,0,0,0,8,3,2.67,100.00%,1.75%,112.4,112.9,113.4,-72.69,-44.05%,4,Call,11:03 ET
6750,102,0,0.00%,0,0,0,0,36,149,0.24,100.00%,1.68%,107.3,107.9,108.5,-59.58,-40.93%,unch,Call,11:04 ET
6755,104.8,0,0.00%,0,0,0,0,3,45,0.07,100.00%,1.61%,102.4,103,103.6,-78.04,-50.04%,23,Call,11:09 ET
6760,92.8,0,0.00%,0,0,0,0,29,44,0.66,100.00%,1.53%,97.5,98.05,98.6,-71.42,-46.14%,22,Call,11:02 ET
6765,89.4,88.4,10.69%,0.9903,0.0007,-1.1696,0.0925,5,16,0.31,99.98%,1.46%,92.6,93.15,93.7,-70.3,-46.53%,1,Call,11:01 ET
6770,89.68,83.55,11.32%,0.9813,0.0011,-1.5962,0.1627,7,29,0.24,99.92%,1.39%,87.9,88.4,88.9,-65.57,-45.54%,2,Call,10:56 ET
6775,81.49,78.7,11.50%,0.9729,0.0015,-1.9542,0.2224,15,31,0.48,99.84%,1.32%,83,83.55,84.1,-73.4,-53.73%,4,Call,11:05 ET
6780,75,74,11.97%,0.9583,0.0021,-2.5746,0.3173,8,20,0.4,99.60%,1.24%,78.1,78.7,79.3,-51.85,-47.79%,-1,Call,11:08 ET
6785,81.87,69.3,12.12%,0.9444,0.0026,-3.0957,0.3995,14,84,0.17,99.30%,1.17%,73.5,74,74.5,-73.36,-57.65%,1,Call,11:05 ET
6790,74.18,64.7,12.29%,0.9272,0.0032,-3.699,0.4925,14,60,0.23,98.82%,1.10%,68.8,69.3,69.8,-79.29,-61.93%,-1,Call,11:07 ET
6795,59.85,59.85,11.83%,0.9182,0.0036,-3.8515,0.5383,132,40,3.3,98.55%,1.02%,64.2,64.7,65.2,-77.48,-63.83%,12,Call,11:08 ET
6800,54.73,55.6,12.27%,0.8902,0.0043,-4.7644,0.6686,413,190,2.17,97.40%,0.95%,59.6,60.25,60.9,-74.41,-65.79%,4,Call,11:09 ET
6805,50.33,51.1,12.12%,0.8699,0.0049,-5.2238,0.7537,60,44,1.36,96.43%,0.88%,55.1,55.6,56.1,-83.58,-70.48%,68,Call,11:09 ET
6810,45.65,46.8,12.09%,0.8441,0.0056,-5.798,0.8517,63,32,1.97,94.98%,0.81%,50.7,51.1,51.5,-76.3,-71.11%,14,Call,11:09 ET
6815,41.93,42.8,12.24%,0.8117,0.0062,-6.5179,0.961,334,29,11.52,92.80%,0.73%,46.3,46.8,47.3,-69.61,-71.05%,13,Call,11:09 ET
6820,38.4,38.4,11.83%,0.7868,0.0069,-6.7464,1.0353,354,65,5.45,91.06%,0.66%,42.6,42.8,43,-73.5,-74.85%,12,Call,11:09 ET
6825,34.59,34.59,11.85%,0.7501,0.0075,-7.3097,1.1312,713,114,6.25,88.00%,0.59%,38.1,38.3,38.5,-68.98,-76.32%,15,Call,11:09 ET
6830,30.2,30.7,11.65%,0.7141,0.0082,-7.6377,1.2106,713,112,6.37,84.75%,0.51%,34.4,34.55,34.7,-76.5,-80.44%,17,Call,11:09 ET
6835,29.1,27.1,11.53%,0.6732,0.0088,-7.9723,1.2843,305,151,2.02,80.63%,0.44%,30.6,30.7,30.8,-74.3,-81.65%,19,Call,11:09 ET
6840,23.5,23.8,11.49%,0.6285,0.0092,-8.2743,1.3461,794,117,6.79,75.66%,0.37%,27,27.1,27.2,-73.4,-83.98%,40,Call,11:09 ET
6845,21.5,21.5,12.00%,0.5781,0.0092,-8.8769,1.3931,656,268,2.45,69.19%,0.30%,23.7,23.8,23.9,-68.5,-85.09%,29,Call,11:09 ET
6850,18.3,18.3,11.69%,0.5326,0.0096,-8.7615,1.4157,3966,620,6.4,63.53%,0.22%,21.4,21.45,21.5,-61.49,-85.94%,69,Call,11:09 ET
6855,15.8,15.8,11.72%,0.4848,0.0096,-8.7671,1.4194,2535,250,10.14,57.02%,0.15%,18.2,18.3,18.4,-64.18,-88.43%,226,Call,11:09 ET
6860,13,13,11.35%,0.4352,0.0097,-8.3707,1.4017,7450,661,11.27,50.36%,0.08%,15.7,15.8,15.9,-61.79,-90.26%,59,Call,11:09 ET
6865,11.1,11.1,11.46%,0.3882,0.0094,-8.1967,1.3643,7108,393,18.09,43.53%,unch,12.9,12.95,13,-57.02,-91.06%,159,Call,11:09 ET
6870,9.02,9.02,11.26%,0.3396,0.0091,-7.678,1.304,8424,458,18.39,36.67%,-0.07%,11,11.05,11.1,-53.13,-92.19%,251,Call,11:09 ET
6875,7.32,7.32,11.15%,0.2936,0.0087,-7.1368,1.2257,8254,1427,5.78,30.16%,-0.14%,9,9.05,9.1,-52.6,-93.51%,186,Call,11:09 ET
6880,5.92,5.92,11.11%,0.2511,0.0081,-6.5655,1.1341,10522,442,23.81,24.24%,-0.21%,7.2,7.3,7.4,-48.72,-94.47%,740,Call,11:09 ET
6885,4.7,4.7,11.04%,0.2113,0.0074,-5.9155,1.03,8648,542,15.96,18.93%,-0.29%,5.9,5.95,6,-45.84,-95.32%,180,Call,11:09 ET
6890,3.66,3.66,10.96%,0.1747,0.0066,-5.2167,0.9169,11616,537,21.63,14.31%,-0.36%,4.6,4.65,4.7,-42.51,-96.05%,284,Call,11:09 ET
6895,2.79,2.79,10.86%,0.1416,0.0058,-4.4954,0.7987,11540,377,30.61,10.43%,-0.43%,3.6,3.65,3.7,-39.15,-96.55%,299,Call,11:09 ET
6900,2.15,2.15,10.85%,0.1146,0.005,-3.8705,0.6892,24816,2386,10.4,7.51%,-0.51%,2.75,2.8,2.85,-35.78,-96.99%,166,Call,11:09 ET
6905,1.62,1.62,10.81%,0.0908,0.0042,-3.2542,0.5821,15277,967,15.8,5.21%,-0.58%,2.1,2.13,2.15,-32.46,-97.36%,1208,Call,11:09 ET
6910,1.2,1.2,10.77%,0.0708,0.0035,-2.6817,0.482,22192,870,25.51,3.49%,-0.65%,1.6,1.63,1.65,-28.67,-97.72%,605,Call,11:09 ET
6915,0.92,0.92,10.84%,0.0561,0.0029,-2.2505,0.4022,17300,1106,15.64,2.38%,-0.73%,1.15,1.2,1.25,-26.51,-97.90%,571,Call,11:09 ET
6920,0.72,0.72,10.97%,0.0449,0.0024,-1.9071,0.3371,28830,1181,24.41,1.64%,-0.80%,0.9,0.93,0.95,-23.36,-98.03%,821,Call,11:09 ET
6925,0.55,0.55,11.06%,0.0353,0.002,-1.5788,0.277,19787,1296,15.27,1.09%,-0.87%,0.7,0.73,0.75,-20.3,-98.07%,486,Call,11:09 ET
6930,0.41,0.41,11.12%,0.0272,0.0016,-1.2762,0.223,22017,1385,15.9,0.70%,-0.94%,0.55,0.58,0.6,-17.55,-98.04%,945,Call,11:09 ET
6935,0.32,0.32,11.26%,0.0216,0.0013,-1.0644,0.1837,15460,1163,13.29,0.47%,-1.02%,0.4,0.43,0.45,-14.53,-98.18%,752,Call,11:09 ET
6940,0.27,0.27,11.54%,0.0181,0.0011,-0.9413,0.1587,17449,1218,14.33,0.34%,-1.09%,0.3,0.32,0.35,-12.3,-98.01%,959,Call,11:09 ET
6945,0.23,0.23,11.82%,0.0154,0.0009,-0.8371,0.1378,15342,925,16.59,0.25%,-1.16%,0.25,0.28,0.3,-10.08,-97.86%,801,Call,11:09 ET
6950,0.17,0.17,11.88%,0.0117,0.0007,-0.6625,0.1086,24374,3490,6.98,0.16%,-1.24%,0.2,0.23,0.25,-8.25,-98.21%,565,Call,11:09 ET
6955,0.15,0.15,12.20%,0.0102,0.0006,-0.6037,0.0964,11702,1473,7.94,0.12%,-1.31%,0.15,0.18,0.2,-6.23,-97.34%,1860,Call,11:09 ET
6960,0.12,0.12,12.37%,0.0082,0.0005,-0.5071,0.0799,15749,2598,6.06,0.08%,-1.38%,0.15,0.18,0.2,-4.95,-97.06%,977,Call,11:09 ET
6965,0.12,0.12,12.88%,0.0079,0.0005,-0.511,0.0774,13293,2848,4.67,0.07%,-1.45%,0.1,0.13,0.15,-3.64,-96.04%,1886,Call,11:08 ET
6970,0.12,0.12,13.38%,0.0077,0.0004,-0.5148,0.0751,10090,2516,4.01,0.07%,-1.53%,0.1,0.13,0.15,-2.67,-96.39%,2077,Call,11:09 ET
6975,0.07,0.07,13.06%,0.0048,0.0003,-0.3314,0.0495,6213,2736,2.27,0.03%,-1.60%,0.1,0.13,0.15,-1.89,-94.97%,1866,Call,11:09 ET
6980,0.05,0.05,13.06%,0.0035,0.0002,-0.2514,0.0376,6224,2202,2.83,0.02%,-1.67%,0.05,0.08,0.1,-1.28,-91.43%,1433,Call,11:09 ET
6985,0.07,0.07,14.00%,0.0045,0.0003,-0.3354,0.0468,4588,1996,2.3,0.03%,-1.75%,0.05,0.08,0.1,-0.89,-89.90%,1537,Call,11:09 ET
6990,0.07,0.07,14.47%,0.0044,0.0002,-0.3374,0.0456,5173,2004,2.58,0.02%,-1.82%,0.05,0.08,0.1,-0.6,-85.71%,1544,Call,11:09 ET
6995,0.07,0.07,14.93%,0.0042,0.0002,-0.3392,0.0444,1940,1657,1.17,0.02%,-1.89%,0.05,0.08,0.1,-0.42,-85.71%,1234,Call,11:07 ET
7000,0.07,0.07,15.40%,0.0041,0.0002,-0.341,0.0433,4748,12265,0.39,0.02%,-1.96%,0.05,0.08,0.1,-0.22,-68.75%,931,Call,11:07 ET
7005,0.05,0.05,15.33%,0.003,0.0002,-0.2581,0.0329,3335,3072,1.09,0.01%,-2.04%,0.05,0.08,0.1,-0.22,-81.48%,4063,Call,11:09 ET
7010,0.05,0.05,15.78%,0.003,0.0002,-0.2593,0.0321,3648,5330,0.68,0.01%,-2.11%,0,0.03,0.05,-0.15,-75.00%,1735,Call,11:05 ET
7015,0.03,0.03,15.46%,0.0019,0.0001,-0.1685,0.0213,2908,7840,0.37,0.00%,-2.18%,0,0.03,0.05,-0.1,-66.67%,-1956,Call,11:09 ET
7020,0.05,0.05,16.67%,0.0028,0.0001,-0.2616,0.0307,2629,12340,0.21,0.01%,-2.26%,0,0.03,0.05,-0.07,-58.33%,6091,Call,11:09 ET
7025,0.05,0.05,17.12%,0.0027,0.0001,-0.2627,0.03,2543,5868,0.43,0.01%,-2.33%,0,0.03,0.05,-0.05,-50.00%,10643,Call,11:09 ET
7030,0.05,0.05,17.56%,0.0027,0.0001,-0.2638,0.0294,1571,1299,1.21,0.01%,-2.40%,0,0.03,0.05,-0.07,-70.00%,3388,Call,11:09 ET
7035,0.05,0.05,18.00%,0.0026,0.0001,-0.2649,0.0288,589,2515,0.23,0.01%,-2.47%,0,0.03,0.05,unch,unch,482,Call,11:06 ET
7040,0.03,0.03,17.59%,0.0017,0.0001,-0.1718,0.0191,158,2771,0.06,0.00%,-2.55%,0,0.03,0.05,-0.02,-28.57%,247,Call,10:59 ET
7045,0.05,0.05,18.88%,0.0025,0.0001,-0.2669,0.0277,57,766,0.07,0.01%,-2.62%,0,0.03,0.05,-0.02,-28.57%,1905,Call,10:59 ET
7050,0.03,0.03,18.43%,0.0016,0.0001,-0.1731,0.0184,361,2047,0.18,0.00%,-2.69%,0,0.03,0.05,-0.04,-57.14%,43,Call,11:09 ET
7055,0.03,0.03,18.85%,0.0016,0.0001,-0.1736,0.018,11,693,0.02,0.00%,-2.77%,0,0.03,0.05,-0.02,-40.00%,518,Call,11:04 ET
7060,0.03,0.03,19.27%,0.0015,0.0001,-0.1742,0.0177,104,1864,0.06,0.00%,-2.84%,0,0.03,0.05,-0.02,-40.00%,81,Call,10:50 ET
7065,0.03,0.03,19.69%,0.0015,0.0001,-0.1748,0.0174,86,4104,0.02,0.00%,-2.91%,0,0.03,0.05,-0.02,-40.00%,984,Call,10:30 ET
7070,0.03,0.03,20.11%,0.0015,0.0001,-0.1753,0.0171,24,8638,0,0.00%,-2.98%,0,0.03,0.05,-0.02,-40.00%,3666,Call,10:31 ET
7075,0.03,0.03,20.52%,0.0014,0.0001,-0.1758,0.0168,62,15903,0,0.00%,-3.06%,0,0.03,0.05,-0.03,-50.00%,8027,Call,10:56 ET
6580,0.12,0.12,29.33%,-0.0037,0.0001,-0.5851,0.0395,793,554,1.43,0.01%,-4.16%,0.1,0.13,0.15,-0.93,-88.57%,6750,Put,11:09 ET
6585,0.12,0.12,28.83%,-0.0038,0.0001,-0.5833,0.04,197,471,0.42,0.01%,-4.09%,0.1,0.13,0.15,-0.85,-85.00%,309,Put,11:09 ET
6590,0.1,0.1,27.81%,-0.0033,0.0001,-0.4987,0.0355,558,785,0.71,0.00%,-4.01%,0.1,0.13,0.15,-0.88,-88.00%,285,Put,11:09 ET
6595,0.15,0.15,28.52%,-0.0047,0.0001,-0.6989,0.0485,536,326,1.64,0.01%,-3.94%,0.1,0.13,0.15,-0.97,-82.91%,173,Put,11:06 ET
6600,0.12,0.12,27.35%,-0.004,0.0001,-0.5779,0.0418,4830,7858,0.61,0.01%,-3.87%,0.1,0.13,0.15,-1.05,-84.00%,204,Put,11:06 ET
6605,0.15,0.15,27.51%,-0.0048,0.0001,-0.6943,0.05,1459,390,3.74,0.01%,-3.79%,0.1,0.13,0.15,-1.05,-84.00%,5560,Put,11:09 ET
6610,0.15,0.15,27.01%,-0.0049,0.0001,-0.6919,0.0507,877,1322,0.66,0.01%,-3.72%,0.1,0.13,0.15,-1.1,-88.00%,211,Put,11:09 ET
6615,0.15,0.15,26.50%,-0.005,0.0002,-0.6895,0.0515,316,380,0.83,0.01%,-3.65%,0.1,0.13,0.15,-1.15,-85.19%,-374,Put,11:08 ET
6620,0.2,0.2,26.85%,-0.0064,0.0002,-0.8725,0.0643,557,1050,0.53,0.02%,-3.58%,0.1,0.13,0.15,-1.1,-84.62%,228,Put,11:09 ET
6625,0.15,0.15,25.49%,-0.0052,0.0002,-0.6844,0.0532,1314,2853,0.46,0.01%,-3.50%,0.1,0.15,0.2,-1.17,-82.39%,891,Put,11:09 ET
6630,0.15,0.15,24.98%,-0.0053,0.0002,-0.6818,0.0541,697,638,1.09,0.01%,-3.43%,0.15,0.18,0.2,-1.04,-80.62%,2328,Put,11:09 ET
6635,0.17,0.17,24.82%,-0.006,0.0002,-0.7537,0.0601,606,1372,0.44,0.01%,-3.36%,0.15,0.18,0.2,-1.25,-83.33%,379,Put,11:08 ET
6640,0.2,0.2,24.77%,-0.0069,0.0002,-0.8587,0.0687,758,437,1.73,0.02%,-3.28%,0.15,0.18,0.2,-1.05,-77.78%,1177,Put,11:05 ET
6645,0.2,0.2,24.25%,-0.0071,0.0002,-0.855,0.0699,1026,713,1.44,0.02%,-3.21%,0.15,0.18,0.2,-1.25,-80.65%,115,Put,11:09 ET
6650,0.2,0.2,23.73%,-0.0072,0.0002,-0.8512,0.0711,1867,1742,1.07,0.02%,-3.14%,0.15,0.2,0.25,-1.08,-77.14%,490,Put,11:08 ET
6655,0.2,0.2,23.20%,-0.0073,0.0002,-0.8474,0.0724,1223,454,2.69,0.02%,-3.06%,0.2,0.23,0.25,-1.25,-78.13%,522,Put,11:09 ET
6660,0.25,0.25,23.31%,-0.009,0.0003,-1.0131,0.0862,1720,971,1.77,0.03%,-2.99%,0.2,0.23,0.25,-1.33,-78.24%,356,Put,11:09 ET
6665,0.25,0.25,22.77%,-0.0091,0.0003,-1.0081,0.0878,729,738,0.99,0.03%,-2.92%,0.2,0.23,0.25,-1.18,-73.75%,475,Put,11:08 ET
6670,0.25,0.25,22.23%,-0.0093,0.0003,-1.003,0.0895,1104,540,2.04,0.03%,-2.85%,0.2,0.25,0.3,-1.15,-71.88%,564,Put,11:09 ET
6675,0.3,0.3,22.21%,-0.011,0.0004,-1.1575,0.1034,801,10358,0.08,0.04%,-2.77%,0.25,0.28,0.3,-1.3,-72.22%,311,Put,11:09 ET
6680,0.3,0.3,21.65%,-0.0113,0.0004,-1.1511,0.1054,1169,572,2.04,0.04%,-2.70%,0.25,0.28,0.3,-1.27,-71.75%,9969,Put,11:08 ET
6685,0.35,0.35,21.54%,-0.013,0.0004,-1.2965,0.1194,1399,564,2.48,0.06%,-2.63%,0.3,0.32,0.35,-1.35,-72.97%,113,Put,11:08 ET
6690,0.35,0.35,20.98%,-0.0133,0.0005,-1.2886,0.1219,2045,10631,0.19,0.06%,-2.55%,0.3,0.32,0.35,-1.38,-70.77%,458,Put,11:08 ET
6695,0.37,0.37,20.58%,-0.0143,0.0005,-1.3391,0.1292,1780,647,2.75,0.07%,-2.48%,0.3,0.32,0.35,-1.4,-70.00%,10197,Put,11:08 ET
6700,0.4,0.4,20.23%,-0.0155,0.0005,-1.4162,0.139,3892,5913,0.66,0.08%,-2.41%,0.35,0.38,0.4,-1.42,-67.62%,471,Put,11:09 ET
6705,0.4,0.4,19.66%,-0.0159,0.0006,-1.4065,0.1421,1809,1363,1.33,0.08%,-2.34%,0.35,0.38,0.4,-1.47,-66.82%,3517,Put,11:09 ET
6710,0.4,0.4,19.08%,-0.0164,0.0006,-1.3965,0.1454,2139,565,3.79,0.09%,-2.26%,0.4,0.43,0.45,-1.46,-63.20%,1140,Put,11:09 ET
6715,0.47,0.47,18.95%,-0.019,0.0007,-1.5759,0.1652,2089,543,3.85,0.11%,-2.19%,0.4,0.43,0.45,-1.35,-60.00%,313,Put,11:09 ET
6720,0.5,0.5,18.53%,-0.0205,0.0007,-1.6419,0.176,2190,885,2.47,0.13%,-2.12%,0.45,0.48,0.5,-1.3,-55.32%,388,Put,11:09 ET
6725,0.55,0.55,18.20%,-0.0227,0.0008,-1.7553,0.1916,2446,3342,0.73,0.16%,-2.04%,0.45,0.5,0.55,-1.36,-55.51%,426,Put,11:09 ET
6730,0.57,0.57,17.70%,-0.024,0.0009,-1.7893,0.201,2380,552,4.31,0.17%,-1.97%,0.5,0.53,0.55,-1.3,-50.98%,1975,Put,11:09 ET
6735,0.65,0.65,17.46%,-0.0273,0.001,-1.9642,0.2237,2132,339,6.29,0.22%,-1.90%,0.55,0.58,0.6,-1.2,-47.06%,228,Put,11:09 ET
6740,0.7,0.7,17.05%,-0.0297,0.0011,-2.0599,0.2404,2773,648,4.28,0.25%,-1.83%,0.6,0.63,0.65,-1.08,-41.86%,183,Put,11:09 ET
6745,0.75,0.75,16.61%,-0.0323,0.0012,-2.1497,0.2575,3123,1028,3.04,0.29%,-1.75%,0.65,0.68,0.7,-1.1,-39.29%,396,Put,11:09 ET
6750,0.8,0.8,16.16%,-0.035,0.0013,-2.2338,0.2752,7750,3486,2.22,0.34%,-1.68%,0.75,0.78,0.8,-0.9,-31.58%,743,Put,11:09 ET
6755,0.92,0.92,15.92%,-0.0401,0.0015,-2.4558,0.3073,3898,2446,1.59,0.43%,-1.61%,0.75,0.8,0.85,-0.95,-30.65%,2613,Put,11:09 ET
6760,1.11,1.05,15.65%,-0.0456,0.0017,-2.6794,0.3412,5195,784,6.63,0.55%,-1.53%,0.85,0.9,0.95,-0.75,-23.44%,2282,Put,11:09 ET
6765,1.2,1.2,15.37%,-0.052,0.0019,-2.9207,0.3787,4079,627,6.51,0.70%,-1.46%,1,1.05,1.1,-0.42,-12.84%,632,Put,11:09 ET
6770,1.3,1.3,14.92%,-0.0571,0.0022,-3.0531,0.408,6279,935,6.72,0.82%,-1.39%,1.15,1.17,1.2,-0.2,-5.88%,384,Put,11:09 ET
6775,1.48,1.48,14.62%,-0.0649,0.0024,-3.305,0.4511,5658,2280,2.48,1.04%,-1.32%,1.25,1.3,1.35,0.2,5.56%,664,Put,11:09 ET
6780,1.7,1.7,14.34%,-0.0742,0.0028,-3.5923,0.5001,8047,1010,7.97,1.33%,-1.24%,1.45,1.48,1.5,0.48,12.57%,1746,Put,11:09 ET
6785,1.95,1.95,14.06%,-0.0848,0.0031,-3.8894,0.553,7984,1121,7.12,1.70%,-1.17%,1.65,1.7,1.75,0.98,24.81%,573,Put,11:09 ET
6790,2.3,2.3,13.86%,-0.0985,0.0035,-4.2825,0.6178,9916,1739,5.7,2.24%,-1.10%,1.95,1.98,2,1.58,37.62%,857,Put,11:09 ET
6795,2.65,2.65,13.58%,-0.1126,0.004,-4.6195,0.6809,8453,452,18.7,2.86%,-1.02%,2.25,2.3,2.35,2.21,50.34%,1418,Put,11:09 ET
6800,3.1,3.1,13.35%,-0.1298,0.0044,-5.0166,0.7526,22636,3419,6.62,3.71%,-0.95%,2.65,2.68,2.7,2.9,60.42%,290,Put,11:09 ET
6805,3.7,3.7,13.22%,-0.1511,0.005,-5.4987,0.8343,9538,807,11.82,4.91%,-0.88%,3,3.1,3.2,3.87,77.40%,2436,Put,11:09 ET
6810,4.4,4.4,13.08%,-0.175,0.0055,-5.9797,0.9179,14232,659,21.6,6.43%,-0.81%,3.7,3.75,3.8,5.1,94.44%,430,Put,11:09 ET
6815,5.15,5.15,12.87%,-0.2006,0.0061,-6.3954,0.9986,12605,420,30.01,8.23%,-0.73%,4.3,4.4,4.5,6.1,107.02%,397,Put,11:09 ET
6820,5.91,5.91,12.56%,-0.2274,0.0068,-6.706,1.0743,15341,1122,13.67,10.28%,-0.66%,5.1,5.15,5.2,7.39,120.95%,254,Put,11:09 ET
6825,7.12,7.12,12.54%,-0.2624,0.0073,-7.2211,1.1603,13091,1751,7.48,13.35%,-0.59%,5.8,5.9,6,9.3,150.00%,594,Put,11:09 ET
6830,8.2,8.2,12.27%,-0.2963,0.0079,-7.4803,1.231,18171,834,21.79,16.52%,-0.51%,7,7.1,7.2,10.99,166.26%,692,Put,11:09 ET
6835,9.9,9.9,12.35%,-0.3382,0.0083,-7.9512,1.3019,14251,1518,9.39,20.99%,-0.44%,8.1,8.15,8.2,12.88,183.48%,493,Put,11:09 ET
6840,11.45,11.45,12.16%,-0.3791,0.0088,-8.1265,1.3546,19855,971,20.45,25.55%,-0.37%,9.8,9.9,10,14.77,191.07%,1352,Put,11:09 ET
6845,13,13,11.82%,-0.4219,0.0093,-8.1015,1.3929,12774,864,14.78,30.54%,-0.30%,11.4,11.45,11.5,17.4,216.15%,508,Put,11:09 ET
6850,15.16,15.16,11.77%,-0.4688,0.0095,-8.1742,1.4158,27048,3447,7.85,36.56%,-0.22%,12.9,13,13.1,19.83,230.58%,461,Put,11:09 ET
6855,17.2,17.2,11.46%,-0.5171,0.0098,-7.9454,1.4188,13507,659,20.5,42.83%,-0.15%,15.1,15.15,15.2,22.6,245.65%,1421,Put,11:09 ET
6860,19.9,19.9,11.45%,-0.5659,0.0097,-7.805,1.4006,19483,1033,18.86,49.64%,-0.08%,17.1,17.2,17.3,24.93,242.04%,413,Put,11:09 ET
6865,22.9,22.9,11.48%,-0.6136,0.0094,-7.5799,1.3615,12156,546,22.26,56.46%,unch,19.8,19.9,20,29.89,281.72%,456,Put,11:09 ET
